"Age","Gender","Dependents","Education","Marital Status","Annual Salary","Card Type","Months of Relationship","Products","Iterations 12m","Number of Months Inactive 12m","Transactions Amount 12m","Transactions 12m","Credit Limit"
45,"M",3,"ensino medio","casado","$60K - $80K","blue",39,5,3,1,1144.9,42,12691.51
49,"F",5,"mestrado","solteiro","menos que $40K","blue",44,6,2,1,1291.45,33,8256.96
51,"M",3,"mestrado","casado","$80K - $120K","blue",36,4,0,1,1887.72,20,3418.56
40,"F",4,"ensino medio","nao informado","menos que $40K","blue",34,3,1,4,1171.56,20,3313.03
40,"M",3,"sem educacao formal","casado","$60K - $80K","blue",21,5,0,1,816.08,28,4716.22
44,"M",2,"mestrado","casado","$40K - $60K","blue",36,3,2,1,1088.07,24,4010.69
51,"M",4,"nao informado","casado","$120K +","gold",46,6,3,1,1330.87,31,34516.72
32,"M",0,"ensino medio","nao informado","$60K - $80K","silver",27,2,2,2,1538.32,36,29081.49
37,"M",3,"sem educacao formal","solteiro","$60K - $80K","blue",36,5,0,2,1350.14,24,22352.5
48,"M",2,"mestrado","solteiro","$80K - $120K","blue",36,6,3,3,1441.73,32,11656.41
42,"M",5,"sem educacao formal","nao informado","$120K +","blue",31,5,2,3,1201.27,42,6748.4
65,"M",1,"nao informado","casado","$40K - $60K","blue",54,6,3,2,1314.42,26,9095.59
56,"M",1,"graduacao","solteiro","$80K - $120K","blue",36,3,0,6,1539.95,17,11751.09
35,"M",3,"mestrado","nao informado","$60K - $80K","blue",30,5,3,1,1311.48,33,8547.74
57,"F",2,"mestrado","casado","menos que $40K","blue",48,5,2,2,1570.23,29,2436
44,"M",4,"nao informado","nao informado","$80K - $120K","blue",37,5,2,1,1348.1,27,4234.96
48,"M",4,"doutorado","solteiro","$80K - $120K","blue",36,6,3,2,1671.12,27,30367.57
41,"M",3,"nao informado","casado","$80K - $120K","blue",34,4,1,4,1028.75,21,13535.91
61,"M",1,"ensino medio","casado","$40K - $60K","blue",56,2,3,2,1336.54,30,3193.51
45,"F",2,"mestrado","casado","nao informado","blue",37,6,2,1,1207.79,21,14470.78
47,"M",1,"doutorado","divorciado","$60K - $80K","blue",42,5,0,2,1178.72,27,20979.05
62,"F",0,"mestrado","casado","menos que $40K","blue",49,2,3,3,692.25,16,1438.73
41,"M",3,"ensino medio","casado","$40K - $60K","blue",33,4,1,2,931.04,18,4470.45
47,"F",4,"nao informado","solteiro","menos que $40K","blue",36,3,2,3,1126.97,23,2492.08
54,"M",2,"nao informado","casado","$80K - $120K","blue",42,4,3,2,1110.07,21,12217.38
41,"F",3,"mestrado","solteiro","menos que $40K","blue",28,6,2,1,1052,22,7768.43
59,"M",1,"ensino medio","nao informado","$40K - $60K","blue",46,4,2,1,1197.92,23,14784.12
63,"M",1,"nao informado","casado","$60K - $80K","blue",56,3,2,3,1904.01,40,10215.26
44,"F",3,"sem educacao formal","solteiro","nao informado","blue",34,5,2,2,1052.46,18,10100.66
47,"M",4,"ensino medio","casado","$40K - $60K","blue",42,6,0,0,1045.67,38,4785.24
53,"M",3,"nao informado","casado","$80K - $120K","blue",33,3,3,2,1038.8,25,2753.96
53,"M",2,"sem educacao formal","casado","$60K - $80K","blue",48,2,1,5,1596.34,26,2451.4
41,"M",4,"mestrado","casado","$60K - $80K","blue",36,4,2,1,1589.11,24,8923.23
53,"F",2,"graduacao","casado","menos que $40K","blue",38,5,3,2,1411.63,28,2650.38
58,"M",0,"mestrado","casado","$80K - $120K","blue",49,6,2,2,1291.68,24,12555.16
55,"F",1,"graduacao","solteiro","menos que $40K","blue",36,4,1,2,1407.71,43,3520.61
55,"F",3,"mestrado","casado","menos que $40K","blue",36,6,3,2,1877.05,37,3035.78
42,"F",4,"ensino medio","casado","menos que $40K","gold",36,2,3,3,966.8,22,15433.35
57,"F",1,"mestrado","nao informado","$40K - $60K","blue",49,3,2,3,1464.46,28,3672.19
66,"F",0,"doutorado","casado","nao informado","blue",56,5,3,4,704.78,16,7882.47
45,"M",3,"mestrado","solteiro","$80K - $120K","blue",41,2,2,2,1109.51,28,32426.29
51,"M",2,"nao informado","casado","$40K - $60K","blue",44,4,0,1,1347.47,28,6205.02
50,"F",1,"graduacao","solteiro","$40K - $60K","silver",43,3,3,2,1756,33,17304.68
49,"M",3,"ensino medio","casado","$60K - $80K","blue",37,5,1,2,1756.49,32,3906.4
38,"F",4,"mestrado","solteiro","nao informado","blue",28,2,3,3,1042.8,23,9830.13
49,"M",4,"sem educacao formal","solteiro","$80K - $120K","blue",30,3,3,2,1444.77,28,34516.07
